id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;ano
11940;14/02/2017;terça-feira;08:50:00;DF;60;6,3;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Sim;5;0;1;0;4;0;1;2;-15,89913934;-48,11551452;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
13085;18/02/2017;sábado;17:20:00;DF;60;5;BRASILIA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;4;0;0;1;3;0;1;2;-15,89555882;-48,10575128;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
13784;21/02/2017;terça-feira;10:22:00;DF;80;9;BRASILIA;Carga excessiva e/ou mal acondicionada;Tombamento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Rotatória;Não;1;0;0;0;1;0;0;1;-15,73118114;-48,16809845;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
14192;23/02/2017;quinta-feira;08:00:00;DF;40;0,5;BRASILIA;Não guardar distância de segurança;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;3;0;0;0;3;0;0;2;-15,97746142;-47,98958419;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
14730;24/02/2017;sexta-feira;19:50:00;DF;70;19;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;6;0;0;0;6;0;0;3;-15,7942287;-47,8821658;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
16617;03/03/2017;sexta-feira;08:30:00;DF;80;17,6;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Declive;Não;3;0;0;2;1;0;2;2;-15,68772842;-48,2058835;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
17918;08/03/2017;quarta-feira;08:20:00;DF;70;13,7;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Rotatória;Não;2;0;1;0;1;0;1;2;-15,79651729;-48,17238003;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
18418;10/03/2017;sexta-feira;08:07:00;DF;40;2,2;BRASILIA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;3;0;0;0;2;1;0;3;-15,99813038;-47,98508406;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
18514;10/03/2017;sexta-feira;14:00:00;DF;251;35;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Declive;Não;2;0;1;0;1;0;1;2;-15,940731;-47,770015;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
18518;10/03/2017;sexta-feira;13:45:00;DF;80;17;BRASILIA;Desobediência às normas de trânsito pelo condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Declive;Não;4;0;1;0;3;0;1;2;-15,68779556;-48,20590764;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
19496;13/03/2017;segunda-feira;17:50:00;DF;80;30,2;BRASILIA;Desobediência às normas de trânsito pelo condutor;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;"Declive;Reta;Em Obras";Não;2;1;0;0;1;0;0;2;-15,58531474;-48,18618;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
20730;18/03/2017;sábado;11:20:00;DF;20;16,9;BRASILIA;Defeito Mecânico no Veículo;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;"Reta;Declive";Não;7;0;2;2;3;0;4;2;-15,6216278;-47,71789575;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
21399;20/03/2017;segunda-feira;11:28:00;DF;20;14;BRASILIA;Pista Escorregadia;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-15,63505217;-47,74156004;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
23988;30/03/2017;quinta-feira;11:00:00;DF;20;40;BRASILIA;Defeito Mecânico no Veículo;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Declive;Reta";Não;1;0;1;0;0;0;1;1;-15,58169114;-47,51447439;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
24646;01/04/2017;sábado;19:00:00;DF;70;8;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-15,784966;-48,122108;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
25055;03/04/2017;segunda-feira;07:00:00;DF;60;28,5;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;2;0;0;0;2;0;0;2;-16,02445421;-48,25299146;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
26044;05/04/2017;quarta-feira;15:30:00;DF;0;0;BRASILIA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Pleno dia;Não Informado;Céu Claro;Simples;Reta;Sim;3;0;0;0;3;0;0;2;-15,79379;-47,88293;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
27493;10/04/2017;segunda-feira;07:40:00;DF;60;8,8;BRASILIA;Condutor Dormindo;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Aclive;Reta";Sim;3;0;1;0;1;1;1;3;-15,9055;-48,1381;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
27660;10/04/2017;segunda-feira;17:48:00;DF;20;44;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Aclive;Não;3;0;1;1;1;0;2;2;-15,57872649;-47,46273626;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
27804;11/04/2017;terça-feira;09:20:00;DF;60;22,3;BRASILIA;Falta de Atenção à Condução;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;0;0;1;1;2;-15,98542;-48,217862;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
28054;12/04/2017;quarta-feira;08:00:00;DF;80;1,2;BRASILIA;Velocidade Incompatível;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;0;0;1;0;0;1;-15,73317176;-48,0865511;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
28182;12/04/2017;quarta-feira;18:30:00;DF;80;5,3;BRASILIA;Ingestão de Álcool;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Declive;Não;2;0;1;0;1;0;1;2;-15,72933529;-48,12404838;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
28893;14/04/2017;sexta-feira;19:00:00;DF;60;2,5;BRASILIA;Ingestão de Álcool;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;0;0;1;2;0;2;-15,88834084;-48,08077362;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
28916;14/04/2017;sexta-feira;21:30:00;DF;60;8;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Retorno Regulamentado;Sim;2;0;0;0;2;0;0;2;-15,90324;-48,130695;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
31780;24/04/2017;segunda-feira;20:00:00;DF;20;10;BRASILIA;Pista Escorregadia;Saída de leito carroçável;Sem Vítimas;Plena Noite;Decrescente;Ignorado;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-15,6528396;-47,7824321;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
32110;26/04/2017;quarta-feira;10:30:00;DF;60;4;BRASILIA;Mal Súbito;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;0;0;3;0;0;3;-15,89168931;-48,09224367;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
32561;27/04/2017;quinta-feira;21:35:00;DF;60;23,4;BRASILIA;Defeito Mecânico no Veículo;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;2;0;0;1;0;1;1;2;-15,98887912;-48,22672963;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
32642;28/04/2017;sexta-feira;08:00:00;DF;40;5;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;1;0;1;1;1;3;-16,02544333;-47,97935754;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
33773;02/05/2017;terça-feira;05:40:00;DF;70;7,4;BRASILIA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Amanhecer;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;0;0;3;0;0;2;-15,78683346;-48,11737024;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
34503;05/05/2017;sexta-feira;05:00:00;DF;70;2;BRASILIA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;1;0;1;1;1;3;-15,7949992;-48,1991543;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
35017;06/05/2017;sábado;17:00:00;DF;20;45;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Aclive;Não;5;0;4;0;0;2;4;4;-15,57866448;-47,46283558;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
36249;20/03/2017;segunda-feira;11:00:00;DF;20;14,9;BRASILIA;Pista Escorregadia;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Dupla;Reta;Não;4;0;1;0;3;0;1;3;-15,63088556;-47,73389697;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
36776;13/05/2017;sábado;08:45:00;DF;20;55;BRASILIA;Objeto estático sobre o leito carroçável;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Declive;Não;4;0;0;0;3;1;0;4;-15,579966;-47,375816;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
37859;16/05/2017;terça-feira;20:30:00;DF;40;1;BRASILIA;Pista Escorregadia;Colisão com objeto estático;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-15,99250954;-47,98628837;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
37880;16/05/2017;terça-feira;22:29:00;DF;70;16,8;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;8;0;0;0;7;2;0;4;-15,79482995;-48,19994505;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
37981;17/05/2017;quarta-feira;11:10:00;DF;20;2;BRASILIA;Desobediência às normas de trânsito pelo condutor;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;5;0;2;0;2;1;2;4;-15,682896;-47,840729;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
38990;20/05/2017;sábado;10:05:00;DF;251;33;BRASILIA;Carga excessiva e/ou mal acondicionada;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;6;0;2;2;0;2;4;3;-15,938696;-47,80598;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
39889;23/05/2017;terça-feira;10:55:00;DF;20;55,8;BRASILIA;Falta de Atenção à Condução;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;0;1;1;0;2;-15,58260003;-47,36889739;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
40216;24/05/2017;quarta-feira;17:10:00;DF;70;19;BRASILIA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Aclive;Curva";Não;7;0;2;0;2;3;2;6;-15,7860798;-48,23037115;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
40306;25/05/2017;quinta-feira;02:56:00;DF;20;1,4;BRASILIA;Ingestão de Álcool;Colisão lateral;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;0;0;2;0;0;2;-15,68464257;-47,84619582;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
41531;28/04/2017;sexta-feira;07:10:00;DF;80;0,7;BRASILIA;Falta de Atenção à Condução;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Dupla;"Aclive;Curva";Não;4;1;1;0;1;1;1;3;-15,50484608;-48,19893658;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
42791;03/06/2017;sábado;06:26:00;DF;60;2;BRASILIA;Falta de Atenção à Condução;Colisão com objeto estático;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;0;1;2;-15,88890322;-48,08147636;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
43310;04/06/2017;domingo;21:15:00;DF;80;9,4;BRASILIA;Ingestão de Álcool;Colisão frontal;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;0;2;0;0;2;-15,73102892;-48,1634295;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
43434;05/06/2017;segunda-feira;10:00:00;DF;40;4,6;BRASILIA;Não guardar distância de segurança;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-16,017685;-47,981122;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
44164;08/06/2017;quinta-feira;05:38:00;DF;80;33,5;BRASILIA;Desobediência às normas de trânsito pelo condutor;Colisão frontal;Com Vítimas Fatais;Amanhecer;Decrescente;Céu Claro;Simples;Curva;Não;4;1;0;1;1;1;1;4;-15,56305851;-48,19576956;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
45987;14/06/2017;quarta-feira;10:18:00;DF;20;17;BRASILIA;Carga excessiva e/ou mal acondicionada;Colisão com objeto em movimento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;0;0;2;0;0;2;-15,621374;-47,71698;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
47233;18/06/2017;domingo;18:03:00;DF;20;4;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Aclive;Não;3;0;2;0;1;0;2;2;-15,67194482;-47,81885147;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
47332;19/06/2017;segunda-feira;02:50:00;DF;60;1;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;0;1;2;-15,88415148;-48,06745492;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
48318;21/06/2017;quarta-feira;01:33:00;DF;20;35,4;BRASILIA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;3;0;2;0;1;0;2;2;-15,59261583;-47,55545855;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
48335;23/06/2017;sexta-feira;08:30:00;DF;60;4,4;BRASILIA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Interseção de Vias;Sim;3;0;0;1;2;0;1;3;-15,89429995;-48,09930769;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
50014;29/06/2017;quinta-feira;05:50:00;DF;251;22,9;BRASILIA;Condutor Dormindo;Colisão com objeto estático;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;Reta;Não;2;0;0;1;0;1;1;1;-15,96240186;-47,66214609;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
50235;30/06/2017;sexta-feira;00:35:00;DF;70;17;BRASILIA;Ingestão de Álcool;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;0;2;0;0;2;-15,79364109;-48,20265198;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
50805;24/05/2017;quarta-feira;18:00:00;DF;20;36;BRASILIA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;0;2;0;0;2;-15,58195605;-47,55038381;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
51770;05/07/2017;quarta-feira;09:50:00;DF;20;11,3;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-15,64584962;-47,76403248;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
52489;08/07/2017;sábado;00:00:00;DF;70;9;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;4;0;2;0;2;0;2;2;-15,784615;-48,132023;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
52790;08/07/2017;sábado;22:00:00;DF;20;14;BRASILIA;Não guardar distância de segurança;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Ignorado;Dupla;Reta;Não;3;0;1;0;2;0;1;3;-15,634938;-47,741241;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
53629;12/07/2017;quarta-feira;03:30:00;DF;251;27;BRASILIA;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1;0;1;0;0;0;1;1;-15,949738;-47,693046;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
54978;17/07/2017;segunda-feira;07:40:00;DF;20;19,4;BRASILIA;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Reta;Interseção de Vias;Declive";Sim;3;0;0;2;1;0;2;3;-15,61046185;-47,69741178;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
56922;24/07/2017;segunda-feira;23:00:00;DF;20;19,1;BRASILIA;Defeito Mecânico no Veículo;Incêndio;Sem Vítimas;Plena Noite;Crescente;Ignorado;Dupla;Reta;Não;2;0;0;0;1;1;0;2;-15,61173282;-47,6996541;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
57603;27/07/2017;quinta-feira;23:25:00;DF;251;33,3;BRASILIA;Ingestão de Álcool;Colisão transversal;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;3;0;0;0;2;1;0;3;-15,93737573;-47,7509594;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
57640;28/07/2017;sexta-feira;06:35:00;DF;70;12;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;Reta;Não;6;0;1;0;4;1;1;4;-15,79886074;-48,15558672;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
58084;29/07/2017;sábado;18:10:00;DF;60;2;BRASILIA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-15,88700968;-48,07672441;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
58697;31/07/2017;segunda-feira;19:00:00;DF;60;17;BRASILIA;Ingestão de Álcool;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;3;0;0;1;1;1;1;3;-15,96132908;-48,17676544;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
59529;04/08/2017;sexta-feira;16:25:00;DF;60;4,3;BRASILIA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Retorno Regulamentado;Sim;3;0;0;0;2;1;0;2;-15,89358796;-48,09850931;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
62159;14/08/2017;segunda-feira;15:55:00;DF;70;19;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;4;0;0;0;3;2;0;4;-15,78938777;-48,22392895;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
62460;15/08/2017;terça-feira;23:30:00;DF;20;26,4;BRASILIA;Ingestão de Álcool;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;1;0;0;1;1;2;-15,59683206;-47,63632623;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
63880;20/08/2017;domingo;23:30:00;DF;40;5,3;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-16,023571;-47,979863;SPRF-DF;DEL01-DF;UOP01-DEL01-DF;2017
65808;28/08/2017;segunda-feira;12:14:00;DF;20;20;BRASILIA;Velocidade Incompatível;Tombamento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-15,60914955;-47,69498077;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
67797;05/09/2017;terça-feira;08:00:00;DF;70;19,2;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Aclive";Não;2;0;1;0;0;1;1;2;-15,78936287;-48,22209477;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
68239;06/09/2017;quarta-feira;20:35:00;DF;80;0;BRASILIA;Animais na Pista;Atropelamento de Animal;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Aclive;Não;1;0;0;0;1;0;0;1;-15,510147;-48,196538;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
69206;10/09/2017;domingo;15:40:00;DF;80;13;BRASILIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;1;2;-15,728034;-48,193768;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
72134;22/09/2017;sexta-feira;13:00:00;DF;20;9;BRASILIA;Pista Escorregadia;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;3;0;1;0;2;0;1;2;-15,65366309;-47,78292493;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
73807;29/09/2017;sexta-feira;01:40:00;DF;60;5,9;BRASILIA;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Aclive;Sim;1;0;1;0;0;0;1;1;-15,89814877;-48,11190871;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
